Date;Ticker;Open;High;Low;Close;Adj_Close;Volume
2025-09-01;ITUB4.SA;37.46601867675781;37.932037353515625;37.36893081665039;37.65048599243164;34.825218200683594;14863209
2025-09-01;PETR4.SA;31.200000762939453;31.3700008392334;31.049999237060547;31.170000076293945;28.410743713378906;9889700
2025-09-01;VALE3.SA;55.13999938964844;55.599998474121094;54.810001373291016;55.599998474121094;51.391990661621094;7765400
2025-09-02;ITUB4.SA;37.03883361816406;37.359222412109375;36.854366302490234;37.009708404541016;34.23252487182617;24358676
2025-09-02;PETR4.SA;31.0;31.440000534057617;31.0;31.329999923706055;28.556581497192383;19812000
2025-09-02;VALE3.SA;55.11000061035156;55.560001373291016;55.040000915527344;55.38999938964844;51.19788360595703;9578500
2025-09-03;ITUB4.SA;37.009708404541016;37.17475509643555;36.53398132324219;36.6893196105957;33.93618392944336;20686108
2025-09-03;PETR4.SA;31.1200008392334;31.350000381469727;30.920000076293945;31.059999465942383;28.310482025146484;29788800
2025-09-03;VALE3.SA;55.38999938964844;55.81999969482422;55.2400016784668;55.599998474121094;51.391990661621094;11832100
2025-09-04;ITUB4.SA;36.67961120605469;37.233009338378906;36.417476654052734;36.8349494934082;34.07088088989258;15877244
2025-09-04;PETR4.SA;31.0;31.31999969482422;30.93000030517578;31.059999465942383;28.310482025146484;24816500
2025-09-04;VALE3.SA;55.849998474121094;56.15999984741211;55.54999923706055;55.709999084472656;51.4936637878418;8442100
2025-09-05;ITUB4.SA;37.20388412475586;37.6893196105957;36.98058319091797;37.24271774291992;34.44805145263672;15664343
2025-09-05;PETR4.SA;31.079999923706055;31.09000015258789;30.190000534057617;30.59000015258789;27.88208770751953;46121900
2025-09-05;VALE3.SA;56.20000076293945;56.66999816894531;56.02000045776367;56.220001220703125;51.96506881713867;14014700
2025-09-08;ITUB4.SA;37.24271774291992;37.291263580322266;36.66990280151367;37.067962646484375;34.286407470703125;11800195
2025-09-08;PETR4.SA;30.829999923706055;30.969999313354492;30.510000228881836;30.709999084472656;27.991466522216797;18164200
2025-09-08;VALE3.SA;56.22999954223633;56.619998931884766;56.22999954223633;56.36000061035156;52.0944709777832;9701900
2025-09-09;ITUB4.SA;37.25242614746094;37.25242614746094;36.69902801513672;36.74757385253906;33.99006271362305;19497179
2025-09-09;PETR4.SA;30.860000610351562;31.149999618530273;30.809999465942383;30.950000762939453;28.210222244262695;31283900
2025-09-09;VALE3.SA;56.7400016784668;57.52000045776367;56.04999923706055;56.189998626708984;51.93733596801758;24300300
2025-09-10;ITUB4.SA;36.75728225708008;37.233009338378906;36.69902801513672;36.77669906616211;34.01700973510742;14517129
2025-09-10;PETR4.SA;30.959999084472656;31.540000915527344;30.920000076293945;31.510000228881836;28.72064781188965;35949600
2025-09-10;VALE3.SA;56.470001220703125;57.04999923706055;56.279998779296875;56.58000183105469;52.297821044921875;13463700
2025-09-11;ITUB4.SA;36.94174575805664;37.61164855957031;36.844661712646484;36.844661712646484;34.07986068725586;18078972
2025-09-11;PETR4.SA;31.299999237060547;31.479999542236328;31.270000457763672;31.389999389648438;28.611268997192383;17607900
2025-09-11;VALE3.SA;56.45000076293945;57.27000045776367;56.310001373291016;57.02000045776367;52.70452117919922;14107200
2025-09-12;ITUB4.SA;36.621360778808594;36.660194396972656;36.17475509643555;36.291263580322266;33.567989349365234;22589754
2025-09-12;PETR4.SA;31.450000762939453;31.700000762939453;31.15999984741211;31.18000030517578;28.419858932495117;19318400
2025-09-12;VALE3.SA;56.70000076293945;57.43000030517578;56.70000076293945;57.0;52.68603515625;12303800
2025-09-15;ITUB4.SA;36.417476654052734;37.067962646484375;36.32038879394531;36.89320373535156;34.12476348876953;14196181
2025-09-15;PETR4.SA;31.299999237060547;31.549999237060547;31.059999465942383;31.450000762939453;28.66596031188965;21978400
2025-09-15;VALE3.SA;57.47999954223633;57.54999923706055;56.97999954223633;57.5;53.148189544677734;12457500
2025-09-16;ITUB4.SA;37.077667236328125;37.135921478271484;36.57281494140625;36.79611587524414;34.03496170043945;19993536
2025-09-16;PETR4.SA;31.600000381469727;31.68000030517578;31.34000015258789;31.530000686645508;28.73887825012207;19154700
2025-09-16;VALE3.SA;57.77000045776367;58.060001373291016;57.189998626708984;57.70000076293945;53.33305358886719;15618500
2025-09-17;ITUB4.SA;36.82524108886719;37.6893196105957;36.75728225708008;37.32038879394531;34.519893646240234;25226348
2025-09-17;PETR4.SA;31.540000915527344;31.790000915527344;31.459999084472656;31.719999313354492;28.912057876586914;29148100
2025-09-17;VALE3.SA;57.540000915527344;58.02000045776367;57.36000061035156;57.79999923706055;53.42548751831055;23116700
